date,state,district,market,commodity,modal_price,min_price,max_price
2024-10-24,Gujarat,Bharuch,Bharuch,Apple,5000.0,4000.0,6500.0
2024-10-25,Gujarat,Bharuch,Bharuch,Apple,5000.0,4000.0,6500.0
2024-10-26,Gujarat,Bharuch,Bharuch,Apple,5000.0,4000.0,6500.0
2024-10-27,Gujarat,Bharuch,Bharuch,Apple,5000.0,4500.0,7000.0
2024-10-28,Gujarat,Bharuch,Bharuch,Apple,5000.0,4000.0,6500.0
2024-10-29,Gujarat,Bharuch,Bharuch,Apple,5500.0,4500.0,6500.0
2024-10-30,Gujarat,Bharuch,Bharuch,Apple,5000.0,4000.0,6500.0
2024-10-31,Gujarat,Bharuch,Bharuch,Apple,5500.0,4500.0,6500.0
2024-11-01,Gujarat,Bharuch,Bharuch,Apple,5000.0,4000.0,6500.0
2024-11-02,Gujarat,Bharuch,Bharuch,Apple,5000.0,4000.0,6509.0
2024-11-03,Gujarat,Bharuch,Bharuch,Apple,5000.0,4000.0,6500.0
2024-11-04,Gujarat,Bharuch,Bharuch,Apple,5000.0,4000.0,6500.0
2024-11-05,Gujarat,Bharuch,Bharuch,Apple,5000.0,4000.0,6500.0
2024-11-06,Gujarat,Bharuch,Bharuch,Apple,5000.0,4000.0,6500.0
2024-11-07,Gujarat,Bharuch,Bharuch,Apple,5000.0,4000.0,6500.0
2024-11-08,Gujarat,Bharuch,Bharuch,Apple,5000.0,4000.0,6500.0
2024-11-09,Gujarat,Bharuch,Bharuch,Apple,5000.0,4000.0,7000.0
2024-11-10,Gujarat,Bharuch,Bharuch,Apple,5900.0,4000.0,6500.0
2024-11-11,Gujarat,Bharuch,Bharuch,Apple,4000.0,3500.0,6000.0
2024-11-14,Gujarat,Bharuch,Bharuch,Apple,5000.0,4000.0,6509.0
2024-11-15,Gujarat,Bharuch,Bharuch,Apple,5500.0,4000.0,6500.0
2024-11-16,Gujarat,Bharuch,Bharuch,Apple,5500.0,4000.0,6500.0
2024-11-18,Gujarat,Bharuch,Bharuch,Apple,6000.0,5000.0,6500.0
2024-11-20,Gujarat,Bharuch,Bharuch,Apple,6000.0,4000.0,7000.0
2024-11-21,Gujarat,Bharuch,Bharuch,Apple,6000.0,4500.0,6500.0
2024-11-22,Gujarat,Bharuch,Bharuch,Apple,5000.0,4500.0,6500.0
2024-11-23,Gujarat,Bharuch,Bharuch,Apple,5000.0,4500.0,6000.0
2024-11-24,Gujarat,Bharuch,Bharuch,Apple,5000.0,4000.0,6500.0
2024-11-25,Gujarat,Bharuch,Bharuch,Apple,5000.0,4500.0,7000.0
2024-11-28,Gujarat,Bharuch,Bharuch,Apple,5000.0,4500.0,7000.0
2024-11-29,Gujarat,Bharuch,Bharuch,Apple,5000.0,4000.0,7000.0
2024-12-11,Gujarat,Bharuch,Bharuch,Apple,7000.0,6000.0,8000.0
2024-12-19,Gujarat,Bharuch,Bharuch,Apple,5000.0,4000.0,6500.0
2024-12-24,Gujarat,Bharuch,Bharuch,Apple,5000.0,4000.0,6000.0
2025-01-23,Gujarat,Bharuch,Bharuch,Apple,5000.0,4000.0,7000.0
2025-02-07,Gujarat,Bharuch,Bharuch,Apple,7000.0,5000.0,8000.0
2025-02-12,Gujarat,Bharuch,Bharuch,Apple,6000.0,5000.0,7000.0
2025-02-24,Gujarat,Bharuch,Bharuch,Apple,5000.0,4500.0,6000.0
2025-03-01,Gujarat,Bharuch,Bharuch,Apple,6000.0,5000.0,7000.0
2025-03-02,Gujarat,Bharuch,Bharuch,Apple,6500.0,5500.0,7500.0
2025-03-03,Gujarat,Bharuch,Bharuch,Apple,6000.0,5000.0,7500.0
2025-03-06,Gujarat,Bharuch,Bharuch,Apple,6000.0,5000.0,7000.0
2025-03-07,Gujarat,Bharuch,Bharuch,Apple,5000.0,4500.0,6000.0
2025-03-13,Gujarat,Bharuch,Bharuch,Apple,6000.0,5000.0,7000.0
2025-03-14,Gujarat,Bharuch,Bharuch,Apple,6500.0,5500.0,7000.0
2025-03-24,Gujarat,Bharuch,Bharuch,Apple,6000.0,5000.0,7000.0
2025-04-02,Gujarat,Bharuch,Bharuch,Apple,6000.0,5000.0,7000.0
2025-04-03,Gujarat,Bharuch,Bharuch,Apple,6500.0,6000.0,7500.0
2025-04-04,Gujarat,Bharuch,Bharuch,Apple,6500.0,6000.0,7000.0
2025-04-05,Gujarat,Bharuch,Bharuch,Apple,7000.0,6500.0,7500.0
2025-04-06,Gujarat,Bharuch,Bharuch,Apple,6500.0,6000.0,7000.0
2025-04-07,Gujarat,Bharuch,Bharuch,Apple,7000.0,6000.0,7500.0
2025-04-09,Gujarat,Bharuch,Bharuch,Apple,8000.0,7000.0,9000.0
2025-04-10,Gujarat,Bharuch,Bharuch,Apple,8000.0,7000.0,9000.0
2025-04-23,Gujarat,Bharuch,Bharuch,Apple,10000.0,8000.0,12000.0
2025-05-01,Gujarat,Bharuch,Bharuch,Apple,10000.0,8000.0,12000.0
2025-05-02,Gujarat,Bharuch,Bharuch,Apple,10000.0,8000.0,12000.0
2025-05-05,Gujarat,Bharuch,Bharuch,Apple,10000.0,9000.0,11000.0
2025-05-06,Gujarat,Bharuch,Bharuch,Apple,11000.0,10000.0,12000.0
2025-05-16,Gujarat,Bharuch,Bharuch,Apple,10000.0,9000.0,12000.0
2025-05-17,Gujarat,Bharuch,Bharuch,Apple,9000.0,8000.0,11000.0
2025-05-19,Gujarat,Bharuch,Bharuch,Apple,9000.0,8000.0,11000.0
2025-05-20,Gujarat,Bharuch,Bharuch,Apple,10000.0,8000.0,12000.0
2025-05-27,Gujarat,Bharuch,Bharuch,Apple,10000.0,8000.0,12000.0
2025-07-08,Gujarat,Bharuch,Bharuch,Apple,5000.0,4000.0,9000.0
2025-07-19,Gujarat,Bharuch,Bharuch,Apple,5000.0,3000.0,9000.0
2025-08-14,Gujarat,Bharuch,Bharuch,Apple,5000.0,4000.0,6000.0
2024-08-31,Gujarat,Rajkot,Gondal(Veg.market Gondal),Apple,10500.0,7000.0,14000.0
2024-09-01,Gujarat,Rajkot,Gondal(Veg.market Gondal),Apple,9500.0,6000.0,13000.0
2024-09-03,Gujarat,Rajkot,Gondal(Veg.market Gondal),Apple,10000.0,7000.0,13000.0
2024-09-04,Gujarat,Rajkot,Gondal(Veg.market Gondal),Apple,11000.0,8000.0,14000.0
2024-09-05,Gujarat,Rajkot,Gondal(Veg.market Gondal),Apple,9750.0,7000.0,12500.0
2024-09-06,Gujarat,Rajkot,Gondal(Veg.market Gondal),Apple,9500.0,6000.0,13000.0
2024-09-07,Gujarat,Rajkot,Gondal(Veg.market Gondal),Apple,8500.0,6000.0,11000.0
2024-09-08,Gujarat,Rajkot,Gondal(Veg.market Gondal),Apple,9250.0,6500.0,12000.0
2024-09-09,Gujarat,Rajkot,Gondal(Veg.market Gondal),Apple,9500.0,6000.0,13000.0
2024-09-10,Gujarat,Rajkot,Gondal(Veg.market Gondal),Apple,9500.0,7000.0,12000.0
2024-09-11,Gujarat,Rajkot,Gondal(Veg.market Gondal),Apple,9500.0,6000.0,13000.0
2024-09-12,Gujarat,Rajkot,Gondal(Veg.market Gondal),Apple,7000.0,5000.0,9000.0
2024-09-13,Gujarat,Rajkot,Gondal(Veg.market Gondal),Apple,7500.0,5000.0,10000.0
2024-09-14,Gujarat,Rajkot,Gondal(Veg.market Gondal),Apple,9000.0,6000.0,12000.0
2024-09-15,Gujarat,Rajkot,Gondal(Veg.market Gondal),Apple,7000.0,4000.0,10000.0
2024-09-16,Gujarat,Rajkot,Gondal(Veg.market Gondal),Apple,8500.0,5000.0,12000.0
2024-09-17,Gujarat,Rajkot,Gondal(Veg.market Gondal),Apple,9250.0,6000.0,12500.0
2024-09-18,Gujarat,Rajkot,Gondal(Veg.market Gondal),Apple,8000.0,5000.0,11000.0
2024-09-19,Gujarat,Rajkot,Gondal(Veg.market Gondal),Apple,7000.0,4000.0,14000.0
2024-09-20,Gujarat,Rajkot,Gondal(Veg.market Gondal),Apple,7500.0,5000.0,10000.0
2024-09-21,Gujarat,Rajkot,Gondal(Veg.market Gondal),Apple,6500.0,4000.0,9000.0
2024-09-22,Gujarat,Rajkot,Gondal(Veg.market Gondal),Apple,8000.0,6000.0,10000.0
2024-09-23,Gujarat,Rajkot,Gondal(Veg.market Gondal),Apple,7000.0,5000.0,9000.0
2024-09-24,Gujarat,Rajkot,Gondal(Veg.market Gondal),Apple,8000.0,6000.0,10000.0
2024-09-25,Gujarat,Rajkot,Gondal(Veg.market Gondal),Apple,7000.0,5000.0,9000.0
2024-09-26,Gujarat,Rajkot,Gondal(Veg.market Gondal),Apple,6000.0,4000.0,8000.0
2024-09-27,Gujarat,Rajkot,Gondal(Veg.market Gondal),Apple,8000.0,6000.0,10000.0
2024-09-28,Gujarat,Rajkot,Gondal(Veg.market Gondal),Apple,6000.0,4000.0,8000.0
2024-09-29,Gujarat,Rajkot,Gondal(Veg.market Gondal),Apple,5750.0,3500.0,8000.0
2024-09-30,Gujarat,Rajkot,Gondal(Veg.market Gondal),Apple,6000.0,4000.0,8000.0
2024-10-01,Gujarat,Rajkot,Gondal(Veg.market Gondal),Apple,5500.0,3500.0,7500.0
2024-10-02,Gujarat,Rajkot,Gondal(Veg.market Gondal),Apple,6000.0,4000.0,8000.0
2024-10-03,Gujarat,Rajkot,Gondal(Veg.market Gondal),Apple,6250.0,4000.0,8500.0
2024-10-04,Gujarat,Rajkot,Gondal(Veg.market Gondal),Apple,5750.0,4000.0,7500.0
2024-10-05,Gujarat,Rajkot,Gondal(Veg.market Gondal),Apple,5500.0,3000.0,8000.0
2024-10-06,Gujarat,Rajkot,Gondal(Veg.market Gondal),Apple,6000.0,4000.0,8000.0
2024-10-07,Gujarat,Rajkot,Gondal(Veg.market Gondal),Apple,5500.0,3000.0,8000.0
2024-10-08,Gujarat,Rajkot,Gondal(Veg.market Gondal),Apple,6250.0,4000.0,8500.0
2024-10-09,Gujarat,Rajkot,Gondal(Veg.market Gondal),Apple,6000.0,5000.0,7000.0
2024-10-10,Gujarat,Rajkot,Gondal(Veg.market Gondal),Apple,6750.0,5000.0,8500.0
2024-10-11,Gujarat,Rajkot,Gondal(Veg.market Gondal),Apple,5000.0,3000.0,7000.0
2024-10-12,Gujarat,Rajkot,Gondal(Veg.market Gondal),Apple,5500.0,3500.0,7500.0
2024-10-13,Gujarat,Rajkot,Gondal(Veg.market Gondal),Apple,6250.0,4000.0,8500.0
2024-10-15,Gujarat,Rajkot,Gondal(Veg.market Gondal),Apple,5250.0,3000.0,7500.0
2024-10-16,Gujarat,Rajkot,Gondal(Veg.market Gondal),Apple,6000.0,4000.0,8000.0
2024-10-17,Gujarat,Rajkot,Gondal(Veg.market Gondal),Apple,5500.0,3000.0,8000.0
2024-10-18,Gujarat,Rajkot,Gondal(Veg.market Gondal),Apple,5750.0,4000.0,7500.0
2024-10-19,Gujarat,Rajkot,Gondal(Veg.market Gondal),Apple,5000.0,3000.0,7000.0
2024-10-20,Gujarat,Rajkot,Gondal(Veg.market Gondal),Apple,5500.0,3500.0,7500.0
2024-10-21,Gujarat,Rajkot,Gondal(Veg.market Gondal),Apple,5000.0,3000.0,7000.0
2024-10-22,Gujarat,Rajkot,Gondal(Veg.market Gondal),Apple,5500.0,4000.0,7000.0
2024-10-24,Gujarat,Rajkot,Gondal(Veg.market Gondal),Apple,5750.0,4000.0,7500.0
2024-10-25,Gujarat,Rajkot,Gondal(Veg.market Gondal),Apple,5500.0,3000.0,8000.0
2024-10-26,Gujarat,Rajkot,Gondal(Veg.market Gondal),Apple,6500.0,4000.0,9000.0
2024-10-27,Gujarat,Rajkot,Gondal(Veg.market Gondal),Apple,5500.0,3000.0,8000.0
2024-10-28,Gujarat,Rajkot,Gondal(Veg.market Gondal),Apple,6000.0,3500.0,8500.0
2024-10-29,Gujarat,Rajkot,Gondal(Veg.market Gondal),Apple,6000.0,4000.0,8000.0
2024-10-30,Gujarat,Rajkot,Gondal(Veg.market Gondal),Apple,6250.0,3500.0,9000.0
2024-10-31,Gujarat,Rajkot,Gondal(Veg.market Gondal),Apple,6000.0,4000.0,8000.0
2024-11-04,Gujarat,Rajkot,Gondal(Veg.market Gondal),Apple,5500.0,3000.0,8000.0
2024-11-05,Gujarat,Rajkot,Gondal(Veg.market Gondal),Apple,5750.0,3000.0,8500.0
2024-11-06,Gujarat,Rajkot,Gondal(Veg.market Gondal),Apple,6000.0,3500.0,8500.0
2024-11-07,Gujarat,Rajkot,Gondal(Veg.market Gondal),Apple,6000.0,4000.0,8000.0
2024-11-08,Gujarat,Rajkot,Gondal(Veg.market Gondal),Apple,5750.0,3000.0,8500.0
2024-11-09,Gujarat,Rajkot,Gondal(Veg.market Gondal),Apple,5250.0,3000.0,7500.0
2024-11-10,Gujarat,Rajkot,Gondal(Veg.market Gondal),Apple,5750.0,4000.0,7500.0
2024-11-11,Gujarat,Rajkot,Gondal(Veg.market Gondal),Apple,10000.0,5000.0,15000.0
2024-11-12,Gujarat,Rajkot,Gondal(Veg.market Gondal),Apple,7000.0,4000.0,10000.0
2024-11-13,Gujarat,Rajkot,Gondal(Veg.market Gondal),Apple,6500.0,4000.0,9000.0
2024-11-14,Gujarat,Rajkot,Gondal(Veg.market Gondal),Apple,7500.0,5000.0,10000.0
2024-11-15,Gujarat,Rajkot,Gondal(Veg.market Gondal),Apple,6500.0,4000.0,9000.0
2024-11-16,Gujarat,Rajkot,Gondal(Veg.market Gondal),Apple,7000.0,4000.0,10000.0
2024-11-18,Gujarat,Rajkot,Gondal(Veg.market Gondal),Apple,8750.0,5000.0,12500.0
2024-11-19,Gujarat,Rajkot,Gondal(Veg.market Gondal),Apple,10500.0,6000.0,15000.0
2024-11-20,Gujarat,Rajkot,Gondal(Veg.market Gondal),Apple,7500.0,5000.0,10000.0
2024-11-21,Gujarat,Rajkot,Gondal(Veg.market Gondal),Apple,6500.0,4000.0,9000.0
2024-11-22,Gujarat,Rajkot,Gondal(Veg.market Gondal),Apple,11000.0,5000.0,17000.0
2024-11-23,Gujarat,Rajkot,Gondal(Veg.market Gondal),Apple,8000.0,4000.0,12000.0
2024-11-24,Gujarat,Rajkot,Gondal(Veg.market Gondal),Apple,8000.0,5000.0,11000.0
2024-11-25,Gujarat,Rajkot,Gondal(Veg.market Gondal),Apple,5250.0,3000.0,7500.0
2024-11-28,Gujarat,Rajkot,Gondal(Veg.market Gondal),Apple,9500.0,4000.0,15000.0
2024-11-29,Gujarat,Rajkot,Gondal(Veg.market Gondal),Apple,7500.0,5000.0,10000.0
2024-11-30,Gujarat,Rajkot,Gondal(Veg.market Gondal),Apple,9000.0,6000.0,12000.0
2024-12-02,Gujarat,Rajkot,Gondal(Veg.market Gondal),Apple,8500.0,5000.0,12000.0
2024-12-03,Gujarat,Rajkot,Gondal(Veg.market Gondal),Apple,7000.0,5000.0,9000.0
2024-12-04,Gujarat,Rajkot,Gondal(Veg.market Gondal),Apple,9000.0,6000.0,12000.0
2024-12-05,Gujarat,Rajkot,Gondal(Veg.market Gondal),Apple,13000.0,8000.0,18000.0
2024-12-06,Gujarat,Rajkot,Gondal(Veg.market Gondal),Apple,6500.0,5000.0,8000.0
2024-12-07,Gujarat,Rajkot,Gondal(Veg.market Gondal),Apple,13000.0,8000.0,18000.0
2024-12-08,Gujarat,Rajkot,Gondal(Veg.market Gondal),Apple,10250.0,8500.0,12000.0
2024-12-09,Gujarat,Rajkot,Gondal(Veg.market Gondal),Apple,7000.0,5000.0,9000.0
2024-12-10,Gujarat,Rajkot,Gondal(Veg.market Gondal),Apple,8000.0,6000.0,10000.0
2024-12-12,Gujarat,Rajkot,Gondal(Veg.market Gondal),Apple,9000.0,8000.0,10000.0
2024-12-13,Gujarat,Rajkot,Gondal(Veg.market Gondal),Apple,11500.0,5000.0,18000.0
2024-12-14,Gujarat,Rajkot,Gondal(Veg.market Gondal),Apple,8500.0,7000.0,10000.0
2024-12-15,Gujarat,Rajkot,Gondal(Veg.market Gondal),Apple,12000.0,5000.0,19000.0
2024-12-16,Gujarat,Rajkot,Gondal(Veg.market Gondal),Apple,8000.0,6000.0,10000.0
2024-12-17,Gujarat,Rajkot,Gondal(Veg.market Gondal),Apple,9000.0,7000.0,11000.0
2024-12-18,Gujarat,Rajkot,Gondal(Veg.market Gondal),Apple,9000.0,8000.0,10000.0
2024-12-20,Gujarat,Rajkot,Gondal(Veg.market Gondal),Apple,10500.0,8000.0,13000.0
2024-12-23,Gujarat,Rajkot,Gondal(Veg.market Gondal),Apple,10000.0,8000.0,12000.0
2024-12-24,Gujarat,Rajkot,Gondal(Veg.market Gondal),Apple,11250.0,6000.0,16500.0
2024-12-25,Gujarat,Rajkot,Gondal(Veg.market Gondal),Apple,12000.0,9000.0,15000.0
2024-12-26,Gujarat,Rajkot,Gondal(Veg.market Gondal),Apple,11000.0,8000.0,14000.0
2024-12-27,Gujarat,Rajkot,Gondal(Veg.market Gondal),Apple,8500.0,7000.0,10000.0
2024-12-28,Gujarat,Rajkot,Gondal(Veg.market Gondal),Apple,10000.0,7500.0,12500.0
2024-12-29,Gujarat,Rajkot,Gondal(Veg.market Gondal),Apple,9500.0,7000.0,12000.0
2024-12-30,Gujarat,Rajkot,Gondal(Veg.market Gondal),Apple,11000.0,10000.0,12000.0
2024-12-31,Gujarat,Rajkot,Gondal(Veg.market Gondal),Apple,9750.0,8000.0,11500.0
2025-01-02,Gujarat,Rajkot,Gondal(Veg.market Gondal),Apple,13500.0,10000.0,17000.0
2025-01-03,Gujarat,Rajkot,Gondal(Veg.market Gondal),Apple,14750.0,12000.0,17500.0
2025-01-04,Gujarat,Rajkot,Gondal(Veg.market Gondal),Apple,13500.0,10000.0,17000.0
2025-01-05,Gujarat,Rajkot,Gondal(Veg.market Gondal),Apple,11000.0,7000.0,15000.0
2025-01-06,Gujarat,Rajkot,Gondal(Veg.market Gondal),Apple,12500.0,7000.0,18000.0
2025-01-07,Gujarat,Rajkot,Gondal(Veg.market Gondal),Apple,10750.0,4000.0,17500.0
2025-01-08,Gujarat,Rajkot,Gondal(Veg.market Gondal),Apple,9750.0,7500.0,12000.0
2025-01-09,Gujarat,Rajkot,Gondal(Veg.market Gondal),Apple,10750.0,8000.0,13500.0
2025-01-10,Gujarat,Rajkot,Gondal(Veg.market Gondal),Apple,11875.0,10000.0,13750.0
2025-01-11,Gujarat,Rajkot,Gondal(Veg.market Gondal),Apple,11500.0,8000.0,15000.0
2025-01-12,Gujarat,Rajkot,Gondal(Veg.market Gondal),Apple,11500.0,10000.0,13000.0
2025-01-13,Gujarat,Rajkot,Gondal(Veg.market Gondal),Apple,10000.0,5000.0,15000.0
2025-01-15,Gujarat,Rajkot,Gondal(Veg.market Gondal),Apple,14000.0,10000.0,18000.0
2025-01-16,Gujarat,Rajkot,Gondal(Veg.market Gondal),Apple,11000.0,10000.0,12000.0
2025-01-17,Gujarat,Rajkot,Gondal(Veg.market Gondal),Apple,9500.0,8000.0,11000.0
2025-01-19,Gujarat,Rajkot,Gondal(Veg.market Gondal),Apple,12500.0,10000.0,15000.0
2025-01-20,Gujarat,Rajkot,Gondal(Veg.market Gondal),Apple,11000.0,9000.0,13000.0
2025-01-21,Gujarat,Rajkot,Gondal(Veg.market Gondal),Apple,10500.0,7000.0,14000.0
2025-01-23,Gujarat,Rajkot,Gondal(Veg.market Gondal),Apple,11000.0,8000.0,14000.0
2025-01-24,Gujarat,Rajkot,Gondal(Veg.market Gondal),Apple,10000.0,7000.0,13000.0
2025-01-25,Gujarat,Rajkot,Gondal(Veg.market Gondal),Apple,10000.0,8000.0,12000.0
2025-01-26,Gujarat,Rajkot,Gondal(Veg.market Gondal),Apple,12500.0,10000.0,15000.0
2025-01-27,Gujarat,Rajkot,Gondal(Veg.market Gondal),Apple,8500.0,6000.0,11000.0
2025-01-28,Gujarat,Rajkot,Gondal(Veg.market Gondal),Apple,8500.0,5000.0,12000.0
2025-01-29,Gujarat,Rajkot,Gondal(Veg.market Gondal),Apple,9500.0,8000.0,11000.0
2025-01-31,Gujarat,Rajkot,Gondal(Veg.market Gondal),Apple,11250.0,7500.0,15000.0
2025-02-01,Gujarat,Rajkot,Gondal(Veg.market Gondal),Apple,10000.0,7000.0,13000.0
2025-02-02,Gujarat,Rajkot,Gondal(Veg.market Gondal),Apple,11000.0,8000.0,14000.0
2025-02-03,Gujarat,Rajkot,Gondal(Veg.market Gondal),Apple,9500.0,4000.0,15000.0
2025-02-04,Gujarat,Rajkot,Gondal(Veg.market Gondal),Apple,9250.0,3500.0,15000.0
2025-02-05,Gujarat,Rajkot,Gondal(Veg.market Gondal),Apple,7500.0,3000.0,12000.0
2025-02-06,Gujarat,Rajkot,Gondal(Veg.market Gondal),Apple,9250.0,7500.0,11000.0
2025-02-07,Gujarat,Rajkot,Gondal(Veg.market Gondal),Apple,10000.0,7000.0,13000.0
2025-02-08,Gujarat,Rajkot,Gondal(Veg.market Gondal),Apple,9250.0,8000.0,10500.0
2025-02-09,Gujarat,Rajkot,Gondal(Veg.market Gondal),Apple,9500.0,7000.0,12000.0
2025-02-10,Gujarat,Rajkot,Gondal(Veg.market Gondal),Apple,10250.0,8000.0,12500.0
2025-02-11,Gujarat,Rajkot,Gondal(Veg.market Gondal),Apple,9500.0,4000.0,15000.0
2025-02-12,Gujarat,Rajkot,Gondal(Veg.market Gondal),Apple,9500.0,6000.0,13000.0
2025-02-13,Gujarat,Rajkot,Gondal(Veg.market Gondal),Apple,11250.0,7500.0,15000.0
2025-02-14,Gujarat,Rajkot,Gondal(Veg.market Gondal),Apple,9750.0,7500.0,12000.0
2025-02-15,Gujarat,Rajkot,Gondal(Veg.market Gondal),Apple,13500.0,10000.0,17000.0
2025-02-16,Gujarat,Rajkot,Gondal(Veg.market Gondal),Apple,12000.0,9000.0,15000.0
2025-02-17,Gujarat,Rajkot,Gondal(Veg.market Gondal),Apple,10250.0,7500.0,13000.0
2025-02-18,Gujarat,Rajkot,Gondal(Veg.market Gondal),Apple,12500.0,8000.0,17000.0
2025-02-20,Gujarat,Rajkot,Gondal(Veg.market Gondal),Apple,9750.0,7500.0,12000.0
2025-02-21,Gujarat,Rajkot,Gondal(Veg.market Gondal),Apple,12750.0,10000.0,15500.0
2025-02-23,Gujarat,Rajkot,Gondal(Veg.market Gondal),Apple,6500.0,5000.0,8000.0
2025-02-24,Gujarat,Rajkot,Gondal(Veg.market Gondal),Apple,10125.0,6250.0,14000.0
2025-02-25,Gujarat,Rajkot,Gondal(Veg.market Gondal),Apple,10000.0,7000.0,13000.0
2025-02-26,Gujarat,Rajkot,Gondal(Veg.market Gondal),Apple,11250.0,7500.0,15000.0
2025-02-27,Gujarat,Rajkot,Gondal(Veg.market Gondal),Apple,11000.0,7000.0,15000.0
2025-02-28,Gujarat,Rajkot,Gondal(Veg.market Gondal),Apple,11750.0,5500.0,18000.0
2025-03-01,Gujarat,Rajkot,Gondal(Veg.market Gondal),Apple,10000.0,6000.0,14000.0
2025-03-02,Gujarat,Rajkot,Gondal(Veg.market Gondal),Apple,10250.0,7500.0,13000.0
2025-03-03,Gujarat,Rajkot,Gondal(Veg.market Gondal),Apple,11500.0,8000.0,15000.0
2025-03-04,Gujarat,Rajkot,Gondal(Veg.market Gondal),Apple,10000.0,7000.0,13000.0
2025-03-05,Gujarat,Rajkot,Gondal(Veg.market Gondal),Apple,10500.0,6500.0,14500.0
2025-03-06,Gujarat,Rajkot,Gondal(Veg.market Gondal),Apple,10500.0,7000.0,14000.0
2025-03-07,Gujarat,Rajkot,Gondal(Veg.market Gondal),Apple,11250.0,7500.0,15000.0
2025-03-08,Gujarat,Rajkot,Gondal(Veg.market Gondal),Apple,11000.0,7000.0,15000.0
2025-03-09,Gujarat,Rajkot,Gondal(Veg.market Gondal),Apple,10000.0,7000.0,13000.0
2025-03-10,Gujarat,Rajkot,Gondal(Veg.market Gondal),Apple,11250.0,7500.0,15000.0
2025-03-11,Gujarat,Rajkot,Gondal(Veg.market Gondal),Apple,11250.0,5500.0,17000.0
2025-03-12,Gujarat,Rajkot,Gondal(Veg.market Gondal),Apple,11000.0,7000.0,15000.0
2025-03-13,Gujarat,Rajkot,Gondal(Veg.market Gondal),Apple,10750.0,7500.0,14000.0
2025-03-14,Gujarat,Rajkot,Gondal(Veg.market Gondal),Apple,10000.0,7500.0,12500.0
2025-03-15,Gujarat,Rajkot,Gondal(Veg.market Gondal),Apple,10500.0,6000.0,15000.0
2025-03-16,Gujarat,Rajkot,Gondal(Veg.market Gondal),Apple,10250.0,7500.0,13000.0
2025-03-17,Gujarat,Rajkot,Gondal(Veg.market Gondal),Apple,14000.0,10000.0,18000.0
2025-03-18,Gujarat,Rajkot,Gondal(Veg.market Gondal),Apple,12500.0,8000.0,17000.0
2025-03-19,Gujarat,Rajkot,Gondal(Veg.market Gondal),Apple,10500.0,7000.0,14000.0
2025-03-20,Gujarat,Rajkot,Gondal(Veg.market Gondal),Apple,9500.0,6000.0,13000.0
2025-03-21,Gujarat,Rajkot,Gondal(Veg.market Gondal),Apple,9250.0,6000.0,12500.0
2025-03-22,Gujarat,Rajkot,Gondal(Veg.market Gondal),Apple,12500.0,7000.0,18000.0
2025-03-23,Gujarat,Rajkot,Gondal(Veg.market Gondal),Apple,11250.0,7500.0,15000.0
