crop_name,botanical_name,plant_part,industry,product,value_level,buyer_type,processing_required
Groundnut,Arachis hypogaea,Kernel,Food,Roasted/Salted Groundnut,Medium,Manufacturer,Yes
Groundnut,Arachis hypogaea,Shell,Bioenergy,Groundnut Shell Briquettes,Low,Manufacturer,Yes
Groundnut,Arachis hypogaea,Kernel,Export,Fresh/Dried Groundnut,High,Exporter,No
Papaya,Carica papaya,Fruit (Ripe),Food,Papaya Pulp/Puree,Medium,Processor,Yes
Papaya,Carica papaya,Fruit (Raw/Latex),Pharma,Papain Enzyme,High,Pharma Company,Yes
Papaya,Carica papaya,Seed,Cosmetics,Papaya Seed Oil,Medium,Manufacturer,Yes
Papaya,Carica papaya,Fruit (Ripe),Export,Fresh Papaya,Medium,Exporter,No
Papaya,Carica papaya,Leaf,Nutraceutical,Papaya Leaf Extract,Medium,Processor,Yes
Pomegranate,Punica granatum,Fruit (Arils),Food,Pomegranate Juice Concentrate,High,Processor,Yes
Pomegranate,Punica granatum,Peel,Nutraceutical,Pomegranate Peel Extract (Punicalagin),High,Manufacturer,Yes
Pomegranate,Punica granatum,Seed,Essential Oil,Pomegranate Seed Oil,High,Oil Processor,Yes
Pomegranate,Punica granatum,Fruit (Fresh),Export,Fresh Pomegranate,High,Exporter,No
Pomegranate,Punica granatum,Peel,Cosmetics,Pomegranate Peel Extract (Cosmetic Grade),Medium,Manufacturer,Yes
Guava,Psidium guajava,Fruit (Ripe),Food,Guava Pulp/Puree,High,Processor,Yes
Guava,Psidium guajava,Leaf,Nutraceutical,Guava Leaf Extract,Medium,Manufacturer,Yes
Guava,Psidium guajava,Fruit,Food,Guava Jam/Jelly,Medium,Manufacturer,Yes
Guava,Psidium guajava,Seed,Essential Oil,Guava Seed Oil,Low,Oil Processor,Yes
Guava,Psidium guajava,Fruit (Fresh),Export,Fresh Guava,Medium,Exporter,No
Garlic,Allium sativum,Bulb,Food,Garlic Powder/Flakes,High,Processor,Yes
Garlic,Allium sativum,Bulb,Pharma,Garlic Extract Capsules (Allicin),High,Pharma Company,Yes
Garlic,Allium sativum,Bulb,Essential Oil,Garlic Oil,Medium,Oil Processor,Yes
Garlic,Allium sativum,Bulb,Export,Fresh Garlic,Medium,Exporter,No
Garlic,Allium sativum,Peel,Animal Feed,Garlic Peel Meal,Low,Feed Company,No
Drumstick,Moringa oleifera,Root,Pharma,Moringa Root Extract,Medium,Pharma Company,Yes
Drumstick,Moringa oleifera,Bark,Nutraceutical,Moringa Bark Extract,Low,Manufacturer,Yes
Drumstick,Moringa oleifera,Pod,Food,Dehydrated Drumstick Powder,Medium,Processor,Yes
Drumstick,Moringa oleifera,Gum/Resin,Pharma,Moringa Gum,Low,Pharma Company,Yes
Drumstick,Moringa oleifera,Pod,Export,Fresh Drumstick (Export Grade),Medium,Exporter,No
Coriander,Coriandrum sativum,Seed,Food,Coriander Powder,High,Processor,Yes
Coriander,Coriandrum sativum,Seed,Essential Oil,Coriander Seed Oil,Medium,Oil Processor,Yes
Coriander,Coriandrum sativum,Leaf,Export,Fresh Coriander Leaves,Medium,Exporter,No
Coriander,Coriandrum sativum,Seed,Export,Whole Coriander Seed,High,Exporter,Yes
Coriander,Coriandrum sativum,Leaf,Nutraceutical,Coriander Leaf Extract,Low,Manufacturer,Yes
